,ID,Y Pred,Mass,Pred Formula,Pred Mass,Pred Atom Num,Pred H/C Num,Running Time,Refined Formula (0),Refined Formula (1),Refined Formula (2),Refined Formula (3),Refined Formula (4),Refined Mass (0),Refined Mass (1),Refined Mass (2),Refined Mass (3),Refined Mass (4),FDR (0),FDR (1),FDR (2),FDR (3),FDR (4)
0,EMBL_MCF_2_0_HRMS_Library000531,5.4284368;6.283578;3.5096722;0.02355165;0.023432579;-0.004435565;0.0066902414;-0.0073772604;-7.087114e-05;-0.0024094903;-0.00075608847;-6.0025e-05;9.956682e-05,130.02723693847656,C5H6O4,132.2643280029297,14.105782508850098,1.1439969539642334,0.034593608762536726,C5H6O4,C6H2N4,,,,130.02660867166,130.02794608218,,,,0.4554396867752075,0.01403907872736454,0.0,0.0,0.0
1,EMBL_MCF_2_0_HRMS_Library000530,13.389991;20.40563;5.428636;1.5094359;0.015156724;-0.000748618;-0.0010685608;-0.006796237;-1.2726057e-05;-0.0013946787;-0.0005694898;-0.00014800891;-1.2809213e-05,289.1280822753906,C13H20O5N2,289.04083251953125,40.5699577331543,1.6680439710617065,0.08392789640596934,C11H19N3O6,C14H17N4O3,C13H21O7,,,289.12738534308005,289.13006542434,289.12872801382,,,0.29804524779319763,0.11117488890886307,0.05502943694591522,0.0,0.0
2,EMBL_MCF_2_0_HRMS_Library000529,3.631679;3.525062;0.1614941;4.3779645;0.015080951;0.029146634;-0.005560656;0.0040174387;-6.21208e-05;-0.0036168152;-0.00038308278;-6.2748186e-05;0.00015716167,112.02798461914062,C4H4N4,115.40545654296875,10.8461275100708,0.9922780394554138,0.058334377195153914,C4H4N2O2,C2H2N5O,,,,112.02727737692,112.02593470618,,,,0.9743154048919678,0.005780193954706192,0.0,0.0,0.0
3,EMBL_MCF_2_0_HRMS_Library000528,7.5918617;16.75214;9.130796;0.124058045;-0.02693141;-0.0011749223;-0.009829613;0.8804739;-2.4228264e-05;-0.004058198;-0.00067410787;0.00054932316;-7.480922e-05,290.0411376953125,C8H17O9P,290.18017578125,35.32551956176758,2.0543787479400635,0.027682092572961534,C6H16N2O7P2,C7H15O10P,C15H14O2S2,,,290.04327485837,290.04028367756996,290.04352203916,,,0.9097597599029541,0.4780869781970978,0.3943344056606293,0.0,0.0
4,EMBL_MCF_2_0_HRMS_Library000526,5.0963182;4.62596;5.7043715;0.23587254;0.50685537;0.08765458;-0.0009666756;0.358746;-6.8720154e-05;-0.006176268;-0.0021528613;0.0003618293;-3.1981792e-05,200.0093536376953,C5H5O6F,200.25233459472656,18.688678741455078,1.4426286220550537,0.1151554850595338,C4H9O7P,C6H4N2O6,C3FH5N2O7,C6FH3N3O4,,200.00858962548,200.0069358552,200.00807866973,200.01075875099002,,0.9545285701751709,0.15040269494056702,0.017730901017785072,0.015032692812383175,0.0
5,EMBL_MCF_2_0_HRMS_Library000525,4.625698;5.8352656;5.157783;-0.0060742246;0.017061003;-0.024564512;-0.0045247497;0.6410348;-9.047585e-05;-0.0025536455;-0.00046914277;0.00061487337;-2.2890745e-07,169.9988555908203,C5H6O5P,170.29640197753906,18.12457847595215,1.7305285930633545,0.026330497648034776,C3H7O6P,C6H6N2S2,,,,169.99802494145,169.99724055104,,,,0.947994589805603,0.3369404375553131,0.0,0.0,0.0
6,EMBL_MCF_2_0_HRMS_Library000523,6.8766694;13.50249;5.50488;-0.010365455;-0.010690467;-0.011847861;0.008179523;-0.003975024;-5.5085588e-05;-0.0024199316;0.0006113713;0.0004056685;-3.2419223e-06,180.06414794921875,C7H14O6,180.85772705078125,25.7957706451416,1.890575647354126,0.026406791593347276,C7H8N4O2,C6H12O6,,,,180.0647255147,180.06338810418,,,,0.05693010985851288,0.010373329743742943,0.0,0.0,0.0
7,EMBL_MCF_2_0_HRMS_Library000522,9.69692;16.673002;15.080289;0.7614111;0.041760214;-0.05676181;-0.030761141;2.8283398;-6.009089e-05;-0.010145839;-0.0041495888;-0.0005695121;-0.00021548364,481.9897766113281,C10H17O15NP3,475.94189453125,45.14583969116211,1.9565874338150024,0.08639672079256602,C8H21O17P3,C10H17N2O14P3,,,,481.99916020478,481.98926422601,,,,0.9728134274482727,0.49260765314102173,0.0,0.0,0.0
8,EMBL_MCF_2_0_HRMS_Library000521,9.564764;17.216011;8.04779;2.2033305;-0.014426525;-0.01468937;-0.011195551;1.0041872;-3.3887198e-05;-0.0027956374;0.0008769696;-4.429086e-05;-5.907732e-05,322.0575256347656,C10H17O8N2P,320.754150390625,37.73979568481445,1.6254360675811768,0.12063172140291759,C10H15N2O8P,C12H10N4O7,C9H12N3O10,,,322.05660244729,322.05494867701,322.05226859575,,,0.6630089282989502,0.12238844484090805,0.07103778421878815,0.0,0.0
9,EMBL_MCF_2_0_HRMS_Library000520,10.178974;12.310457;7.4895887;2.8662288;0.035304137;0.5277107;-0.00279174;1.8555434;-7.677721e-05;0.2359431;0.0069815544;-0.00095906726;-3.893095e-05,402.0238342285156,C10H12O7N3SP2,401.22088623046875,33.713619232177734,1.2551507949829102,0.027321842099939073,C15H16O9P2,C8H21O12P3,C10H16N2O11P2,,,402.02695608865,402.02458710693,402.02293333665,,,0.9936040043830872,0.9880680441856384,0.5420172214508057,0.0,0.0
